city,state,orders_deliverd,late_orders,mean_late_days,late_percentage
santana do paraiso,MG,16,1,0.125,6.25
santana dos montes,MG,2,0,0.0,0.0
santanesia,RJ,4,0,0.0,0.0
santiago,RS,26,1,0.15384615384615385,3.85
santo amaro de campos,RJ,6,1,1.1666666666666667,16.67
santo anastacio,SP,17,0,0.0,0.0
santo andre,SP,777,31,0.2947232947232947,3.99
santo angelo,RS,45,0,0.0,0.0
santo antonio da alegria,SP,3,0,0.0,0.0
santo antonio da patrulha,RS,17,0,0.0,0.0
santo antonio da platina,PR,12,0,0.0,0.0
santo antonio das missoes,RS,4,0,0.0,0.0
santo antonio de padua,RJ,30,4,1.9,13.33
santo antonio de posse,SP,20,0,0.0,0.0
santo antonio do amparo,MG,4,0,0.0,0.0
santo antonio do aracangua,SP,1,0,0.0,0.0
santo antonio do aventureiro,MG,1,0,0.0,0.0
santo antonio do caiua,PR,1,0,0.0,0.0
santo antonio do grama,MG,2,0,0.0,0.0
santo antonio do itambe,MG,3,0,0.0,0.0
santo antonio do jacinto,MG,7,1,0.5714285714285714,14.29
santo antonio do jardim,SP,4,0,0.0,0.0
santo antonio do monte,MG,14,0,0.0,0.0
santo antonio do palma,RS,2,0,0.0,0.0
santo antonio do pinhal,SP,2,0,0.0,0.0
santo antonio do planalto,RS,1,0,0.0,0.0
santo antonio do rio abaixo,MG,1,0,0.0,0.0
santo antonio do sudoeste,PR,3,0,0.0,0.0
santo antonio dos campos,MG,1,0,0.0,0.0
santo augusto,RS,8,1,1.875,12.5
santo cristo,RS,7,1,1.0,14.29
santo eduardo,RJ,2,0,0.0,0.0
santo expedito,SP,1,0,0.0,0.0
santo expedito do sul,RS,1,0,0.0,0.0
santo hipolito,MG,1,0,0.0,0.0
santo inacio,PR,1,0,0.0,0.0
santos,SP,700,65,0.5728571428571428,9.29
santos dumont,MG,22,1,0.09090909090909091,4.55
sao benedito,MG,1,0,0.0,0.0
sao bento abade,MG,1,0,0.0,0.0
sao bento do sapucai,SP,7,0,0.0,0.0
sao bernardo do campo,SP,911,57,0.5762897914379802,6.26
sao borja,RS,18,1,1.6111111111111112,5.56
sao bras do suacui,MG,2,0,0.0,0.0
sao caetano do sul,SP,272,13,0.4742647058823529,4.78
sao carlos,SP,230,8,0.25217391304347825,3.48
sao carlos do ivai,PR,1,0,0.0,0.0
sao clemente,PR,1,1,0.0,100.0
sao domingos,MG,1,0,0.0,0.0
sao domingos das dores,MG,1,0,0.0,0.0
sao domingos do prata,MG,4,0,0.0,0.0
sao felix de minas,MG,1,0,0.0,0.0
sao fidelis,RJ,23,0,0.0,0.0
sao francisco,MG,12,2,0.6666666666666666,16.67
sao francisco,SP,2,0,0.0,0.0
sao francisco de assis,RS,2,1,12.0,50.0
sao francisco de itabapoana,RJ,15,1,1.0666666666666667,6.67
sao francisco de paula,MG,2,0,0.0,0.0
sao francisco de paula,RS,5,0,0.0,0.0
sao francisco do gloria,MG,1,0,0.0,0.0
sao gabriel,RS,23,3,0.34782608695652173,13.04
sao geraldo,MG,4,0,0.0,0.0
sao geraldo da piedade,MG,1,0,0.0,0.0
sao geraldo do baguari,MG,1,0,0.0,0.0
sao goncalo,RJ,385,96,3.064935064935065,24.94
sao goncalo do abaete,MG,2,0,0.0,0.0
sao goncalo do para,MG,3,1,1.0,33.33
sao goncalo do rio abaixo,MG,6,0,0.0,0.0
sao goncalo do rio das pedras,MG,1,0,0.0,0.0
sao goncalo do rio preto,MG,3,0,0.0,0.0
sao goncalo do sapucai,MG,8,0,0.0,0.0
sao gotardo,MG,20,2,0.85,10.0
sao jeronimo,RS,7,0,0.0,0.0
sao joao,PR,11,1,0.18181818181818182,9.09
sao joao batista do gloria,MG,3,0,0.0,0.0
sao joao da barra,RJ,15,1,1.0,6.67
sao joao da boa vista,SP,80,2,0.1,2.5
sao joao da mata,MG,2,1,0.0,50.0
sao joao da ponte,MG,1,0,0.0,0.0
sao joao da urtiga,RS,1,0,0.0,0.0
sao joao das missoes,MG,2,0,0.0,0.0
sao joao de iracema,SP,3,1,0.6666666666666666,33.33
sao joao de meriti,RJ,124,27,3.556451612903226,21.77
sao joao del rei,MG,66,6,0.8181818181818182,9.09
sao joao do ivai,PR,2,0,0.0,0.0
sao joao do manhuacu,MG,2,0,0.0,0.0
sao joao do manteninha,MG,3,0,0.0,0.0
sao joao do oriente,MG,2,0,0.0,0.0
sao joao do paraiso,MG,4,0,0.0,0.0
sao joao do paraiso,RJ,1,0,0.0,0.0
sao joao do triunfo,PR,2,0,0.0,0.0
sao joao evangelista,MG,6,2,3.0,33.33
sao joao nepomuceno,MG,14,1,0.07142857142857142,7.14
sao joaquim da barra,SP,34,6,2.6470588235294117,17.65
sao joaquim de bicas,MG,8,1,0.375,12.5
sao jorge,RS,1,0,0.0,0.0
sao jorge d'oeste,PR,1,0,0.0,0.0
sao jorge do ivai,PR,1,0,0.0,0.0
